"m","s","dist","AIC","AICC","BIC"
1,1,"std",24006.41,24006.42,24024.25
1,2,"std",24007.98,24007.99,24031.77
2,2,"std",24009.98,24010,24039.72
2,1,"std",24010.19,24010.2,24033.98
1,1,"norm",24261.36,24261.37,24279.21
1,2,"norm",24262.24,24262.25,24286.03
2,2,"norm",24264.24,24264.26,24293.98
2,1,"norm",24265.5,24265.51,24289.29
2,0,"std",24631.66,24631.67,24649.5
1,0,"std",24988.07,24988.08,24999.97
0,2,"std",25098.18,25098.19,25116.02
0,1,"std",25173.4,25173.41,25185.3
2,0,"norm",25470.37,25470.38,25488.22
1,0,"norm",26185.42,26185.43,26197.32
0,2,"norm",26975.6,26975.6,26993.44
0,1,"norm",26985.38,26985.39,26997.28
