"p","q","P","Q","fejl"
4,5,2,0,"non-finite finite-difference value [10]"
6,6,2,0,"non-finite finite-difference value [7]"
4,5,3,0,"non-finite finite-difference value [1]"
6,5,3,0,"non-finite finite-difference value [6]"
6,1,4,0,"non-finite finite-difference value [5]"
6,2,4,0,"initial value in 'vmmin' is not finite"
6,4,4,0,"initial value in 'vmmin' is not finite"
4,5,4,0,"non-finite finite-difference value [1]"
6,5,4,0,"non-finite finite-difference value [12]"
3,6,4,0,"non-finite finite-difference value [1]"
6,1,5,0,"initial value in 'vmmin' is not finite"
3,3,5,0,"non-finite finite-difference value [1]"
1,4,5,0,"initial value in 'vmmin' is not finite"
1,5,5,0,"non-finite finite-difference value [1]"
2,5,5,0,"non-finite finite-difference value [8]"
3,5,5,0,"non-finite finite-difference value [1]"
4,5,5,0,"initial value in 'vmmin' is not finite"
3,3,2,1,"non-finite finite-difference value [5]"
5,3,2,1,"non-finite finite-difference value [5]"
7,3,2,1,"non-finite finite-difference value [6]"
6,4,2,1,"non-finite finite-difference value [6]"
6,6,2,1,"non-finite finite-difference value [6]"
4,1,3,1,"non-finite finite-difference value [1]"
4,1,4,1,"non-finite finite-difference value [4]"
6,3,4,1,"non-finite finite-difference value [10]"
7,3,4,1,"non-finite finite-difference value [7]"
1,4,4,1,"non-finite finite-difference value [2]"
5,4,4,1,"non-finite finite-difference value [5]"
6,4,4,1,"non-finite finite-difference value [6]"
3,2,5,1,"non-finite finite-difference value [7]"
2,3,5,1,"non-finite finite-difference value [10]"
3,3,5,1,"non-finite finite-difference value [1]"
6,3,5,1,"initial value in 'vmmin' is not finite"
7,3,5,1,"non-finite finite-difference value [7]"
2,4,5,1,"initial value in 'vmmin' is not finite"
6,4,5,1,"non-finite finite-difference value [1]"
6,6,5,1,"initial value in 'vmmin' is not finite"
3,3,1,2,"non-finite finite-difference value [7]"
6,5,1,2,"non-finite finite-difference value [6]"
3,3,2,2,"non-finite finite-difference value [1]"
4,3,2,2,"non-finite finite-difference value [4]"
6,5,2,2,"non-finite finite-difference value [6]"
