"p","d","q","P","D","Q","AIC","AICC","BIC"
5,1,4,4,1,3,27016.8548358237,27017.0730176419,27117.929278104
5,1,4,1,1,2,27017.2591650241,27017.3887485057,27094.5513855914
4,1,5,1,1,2,27018.2753377368,27018.4049212184,27095.567558304
5,1,5,3,1,5,27018.5943453396,27018.865483406,27131.5598984764
5,1,6,5,1,4,27018.8624851205,27019.1923673055,27143.7191491139
5,1,4,1,1,3,27019.728591435,27019.8781640846,27102.9663674306
5,1,4,2,1,2,27019.8619473302,27020.0115199798,27103.0997233258
7,1,5,4,1,5,27019.9271177958,27020.2885463673,27150.7293372174
5,1,4,2,1,1,27020.2797480363,27020.409331518,27097.5719686036
5,1,5,2,1,4,27020.322996139,27020.5411779572,27121.3974384193
5,1,6,1,1,2,27020.3863936686,27020.5573947374,27109.5697250924
3,1,6,3,1,6,27020.4302875686,27020.701425635,27133.3958407054
4,1,6,1,1,3,27020.5748287417,27020.7458298105,27109.7581601656
5,1,5,2,1,1,27020.6061605188,27020.7557331684,27103.8439365144
3,1,6,2,1,1,27020.6738991246,27020.8034826063,27097.9661196919
3,1,6,4,1,6,27020.9168958883,27021.2166817555,27139.8280044534
6,1,4,2,1,2,27021.2859091398,27021.4569102086,27110.4692405636
5,1,4,4,1,5,27021.4635909786,27021.7347290449,27134.4291441154
3,1,6,1,1,4,27021.4773095366,27021.6483106054,27110.6606409604
6,1,4,2,1,3,27021.4917446384,27021.6856149164,27116.6206314905
5,1,4,3,1,5,27021.5186710501,27021.7626082826,27128.5386687587
4,1,5,4,1,1,27021.5571045256,27021.7281055943,27110.7404359494
7,1,4,2,1,5,27021.8060075672,27022.0771456335,27134.771560704
5,1,4,3,1,1,27021.8649893704,27022.01456202,27105.102765366
5,1,5,0,1,3,27022.0750973149,27022.2246699644,27105.3128733104
6,1,4,3,1,1,27022.1882027538,27022.3592038226,27111.3715341776
5,1,5,4,1,1,27022.2900074111,27022.4838776891,27117.4188942632
5,1,6,2,1,1,27022.4571212584,27022.6281223272,27111.6404526822
6,1,5,2,1,1,27022.6113422552,27022.782343324,27111.794673679
5,1,4,0,1,5,27022.6166039394,27022.7876050082,27111.7999353632
5,1,5,3,1,1,27022.6492184142,27022.8202194829,27111.832549838
5,1,5,2,1,3,27022.7038934943,27022.8977637723,27117.8327803463
3,1,6,0,1,5,27022.786616474,27022.9576175428,27111.9699478978
6,1,4,1,1,3,27022.8062442672,27022.977245336,27111.989575691
5,1,5,0,1,5,27023.0879132331,27023.2817835111,27118.2168000852
5,1,6,0,1,3,27023.2149206762,27023.3859217449,27112.3982521
7,1,4,0,1,3,27023.344233929,27023.5152349978,27112.5275653528
5,1,5,0,1,4,27023.509086136,27023.6800872048,27112.6924175598
5,1,5,1,1,6,27023.6707377078,27023.9146749403,27130.6907354163
6,1,4,3,1,3,27023.7576969187,27023.9758787368,27124.832139199
5,1,4,1,1,5,27023.8126527282,27024.0065230062,27118.9415395803
7,1,6,3,1,3,27024.0999206346,27024.3997065018,27143.0110291996
4,1,5,3,1,2,27024.1400757794,27024.3110768481,27113.3234072032
5,1,6,4,1,1,27024.1675053039,27024.385687122,27125.2419475842
5,1,4,5,1,1,27024.1758285068,27024.3696987847,27119.3047153588
4,1,6,1,1,4,27024.1774753218,27024.3713455998,27119.3063621739
5,1,4,3,1,2,27024.2337123202,27024.404713389,27113.417043744
6,1,4,1,1,5,27024.4024235129,27024.6206053311,27125.4768657932
4,1,5,3,1,6,27024.4858711565,27024.7570092228,27137.4514242933
5,1,6,0,1,5,27024.5213670573,27024.7395488755,27125.5958093376
7,1,4,2,1,3,27024.531294714,27024.7494765322,27125.6057369943
5,1,6,3,1,1,27024.5446584963,27024.7385287743,27119.6735453483
5,1,6,3,1,4,27024.6024745956,27024.873612662,27137.5680277324
5,1,5,4,1,2,27024.6398252599,27024.8580070781,27125.7142675402
5,1,5,1,1,5,27024.6563705138,27024.874552332,27125.7308127941
3,1,6,0,1,6,27024.7577748664,27024.9516451444,27119.8866617185
7,1,6,2,1,2,27024.7967071421,27025.0406443746,27131.8167048507
5,1,6,0,1,4,27024.816691255,27025.0105615329,27119.945578107
5,1,5,0,1,6,27025.0044840842,27025.2226659023,27126.0789263645
5,1,5,3,1,2,27025.007797532,27025.20166781,27120.1366843841
5,1,5,5,1,1,27025.0174143147,27025.2355961329,27126.0918565951
6,1,4,3,1,4,27025.0243538,27025.2682910325,27132.0443515085
5,1,4,1,1,4,27025.0766203346,27025.2476214034,27114.2599517584
5,1,5,1,1,3,27025.0947682099,27025.2657692787,27114.2780996337
6,1,4,1,1,4,27025.1982243126,27025.3920945906,27120.3271111646
7,1,5,0,1,3,27025.2358525144,27025.4297227924,27120.3647393665
3,1,6,3,1,4,27025.253870137,27025.4720519552,27126.3283124173
5,1,4,4,1,4,27025.3163054054,27025.5602426379,27132.336303114
7,1,4,1,1,3,27025.3674309624,27025.5613012404,27120.4963178144
7,1,4,0,1,4,27025.4290561812,27025.6229264592,27120.5579430333
7,1,4,3,1,2,27025.501691496,27025.7198733142,27126.5761337763
3,1,6,1,1,5,27025.5477581761,27025.7416284541,27120.6766450282
6,1,5,3,1,1,27025.7259469299,27025.9198172079,27120.854833782
7,1,4,5,1,2,27025.7924459684,27026.0635840347,27138.7579991052
6,1,6,2,1,2,27025.803575766,27026.0217575842,27126.8780180463
5,1,4,1,1,6,27025.824177024,27026.0423588421,27126.8986193043
7,1,4,2,1,2,27025.931869655,27026.125739933,27121.0607565071
4,1,6,1,1,2,27026.0735842878,27026.2231569374,27109.3113602834
7,1,4,2,1,1,27026.085323792,27026.2563248608,27115.2686552158
4,1,5,1,1,1,27026.1015108591,27026.2125428876,27097.4481759982
6,1,4,1,1,2,27026.1365690743,27026.2861417239,27109.3743450699
7,1,6,2,1,3,27026.1698959339,27026.4410340003,27139.1354490708
6,1,6,3,1,1,27026.2175158694,27026.4356976876,27127.2919581497
5,1,4,0,1,6,27026.3019478749,27026.4958181529,27121.4308347269
4,1,5,0,1,4,27026.3540105149,27026.5035831645,27109.5917865104
4,1,6,4,1,3,27026.412411279,27026.6563485116,27133.4324089876
6,1,4,1,1,6,27026.4187426704,27026.6626799029,27133.4387403789
4,1,6,1,1,6,27026.4223644102,27026.6663016428,27133.4423621188
7,1,5,0,1,5,27026.4269929542,27026.6709301867,27133.4469906627
6,1,5,1,1,5,27026.4422295828,27026.6861668154,27133.4622272914
5,1,6,1,1,5,27026.5182322808,27026.7621695133,27133.5382299894
5,1,6,3,1,2,27026.5253136804,27026.7434954986,27127.5997559607
5,1,6,0,1,6,27026.540386339,27026.7843235715,27133.5603840475
7,1,4,0,1,6,27026.5681053171,27026.8120425496,27133.5881030256
7,1,4,5,1,3,27026.5685876125,27026.8683734798,27145.4796961776
